,O_m,O_r,O_L,O_k,O_B,b0,h,nvec1,nvec2,nvec3,Chi2
16,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,0.2499985408362431,227466892.83690536
17,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,0.24999781250560718,227466892.83690536
18,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,0.24999817709625582,227466892.83690536
19,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,0.24999901690770943,227466892.83690536
20,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,0.24999849625616577,227466892.83690536
21,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,0.2499990074222205,227466892.83690536
22,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,0.24999994248621138,227466892.83690536
23,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,0.2500009334191185,227466892.83690536
24,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,0.25000037931822605,227466892.83690536
25,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,0.24999982136259993,227466892.83690536
26,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,0.2500005861186286,227466892.83690536
27,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,0.250000311886921,227466892.83690536
28,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,0.2500005864948624,227466892.83690536
29,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,0.2500008569558542,227466892.83690536
30,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,0.2500005635892931,227466892.83690536
31,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,0.2500015457511245,227466892.83690536
32,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,0.2500025240769505,227466892.83690536
33,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,0.2500031062190457,227466892.83690536
34,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,0.25000239776617933,227466892.83690536
35,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,0.2500024809252677,227466873.8957722
36,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,0.2500030909730502,227465090.06957182
37,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,0.2500036369042557,227464420.10226944
38,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,0.2500040790699777,227464420.10226944
39,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,0.250004474589558,227464420.10226944
40,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,0.2500038707248577,227464420.10226944
41,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,0.2500042873340894,227464420.10226944
42,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,0.2500048861399168,227464420.10226944
43,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,0.25000543629954125,227464420.10226944
44,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,0.25000554412652376,227464420.10226944
45,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,0.25000487261765103,227464420.10226944
46,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,0.25000558660978106,227464420.10226944
47,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,0.250005147037716,227464420.10226944
48,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,0.2500058576764376,227464420.10226944
49,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,0.25000665863640165,227464420.10226944
50,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,0.2500057244778005,227464420.10226944
51,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,0.2500066984764561,227464420.10226944
52,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,0.2500060786664344,227464420.10226944
53,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,0.2500060527354194,227464420.10226944
54,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,0.25000520081887234,227464420.10226944
55,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,0.2500042864093993,227464420.10226944
